MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,0,4.189654742026425,9.042040056544483,0,0,0,3,3,0,2.0,0,0,0,0,0,7,5,2003,2003,0,0,0,0,0,5.2832037287379885,4,3,0,4.0,3.0,1.0,6.0,6.561030665896573,1.0,0,5.017279836814924,6.75343791859778,0,5,0,0,6.75343791859778,6.75110146893676,0,7.444833273892193,1,0,2,1,3,1,4,8,0,0,0.0,0,2003.0,2.0,2,6.3080984415095305,3.0,3.0,0,0.0,4.127134385045092,0,0,0,0.0,0.0,0.0,0,0.0,2,2008,0,0,208500
20,0,4.394449154672439,9.169622538697624,0,0,0,3,3,1,2.0,1,1,0,0,1,6,8,1976,1976,0,0,1,1,1,0.0,3,3,1,4.0,3.0,4.0,5.0,6.88653164253051,1.0,0,5.652489180268651,7.141245122350491,0,5,0,0,7.141245122350491,0.0,0,7.141245122350491,0,1,2,0,3,1,3,6,0,1,3.0,0,1976.0,2.0,2,6.133398042996649,3.0,3.0,0,5.700443573390687,0.0,0,0,0,0.0,0.0,0.0,0,0.0,5,2007,0,0,181500
60,0,4.23410650459726,9.328212292571072,0,0,1,3,3,0,2.0,0,0,0,0,0,7,5,2001,2002,0,0,0,0,0,5.093750200806762,4,3,0,4.0,3.0,2.0,6.0,6.18826412308259,1.0,0,6.075346031088684,6.825460036255307,0,5,0,0,6.825460036255307,6.7650389767805414,0,7.488293515159428,1,0,2,1,3,1,4,6,0,1,3.0,0,2001.0,2.0,2,6.411818267709897,3.0,3.0,0,0.0,3.7612001156935624,0,0,0,0.0,0.0,0.0,0,0.0,9,2008,0,0,223500
70,0,4.110873864173311,9.164401140034737,0,0,1,3,3,2,2.0,2,0,0,0,0,7,5,1915,1970,0,0,2,2,1,0.0,3,3,2,3.0,4.0,1.0,5.0,5.37989735354046,1.0,0,6.293419278846481,6.6293632534374485,0,4,0,0,6.8690144506657065,6.6293632534374485,0,7.4489161025442,1,0,1,0,3,1,4,7,0,1,4.0,1,1998.0,1.0,3,6.466144724237619,3.0,3.0,0,0.0,3.58351893845611,272,0,0,0.0,0.0,0.0,0,0.0,2,2006,0,1,140000
60,0,4.442651256490317,9.565283817736766,0,0,1,3,3,1,2.0,3,0,0,0,0,8,5,2000,2000,0,0,0,0,0,5.860786223465865,4,3,0,4.0,3.0,3.0,6.0,6.486160788944089,1.0,0,6.19644412779452,7.044032897274685,0,5,0,0,7.044032897274685,6.960347729101308,0,7.695757990554761,1,0,2,1,4,1,4,9,0,1,3.0,0,2000.0,2.0,3,6.729824070489475,3.0,3.0,0,5.262690188904886,4.442651256490317,0,0,0,0.0,0.0,0.0,0,0.0,12,2008,0,0,250000
50,0,4.454347296253507,9.55506418479516,0,0,1,3,3,0,2.0,4,0,0,0,2,5,5,1993,1995,0,0,0,0,1,0.0,3,3,3,4.0,3.0,1.0,6.0,6.597145701886651,1.0,0,4.174387269895637,6.680854678790215,0,5,0,0,6.680854678790215,6.340359303727752,0,7.217443431696533,1,0,1,1,1,1,3,5,0,0,0.0,0,1993.0,1.0,2,6.175867270105761,3.0,3.0,0,3.713572066704308,3.4339872044851463,0,320,0,0.0,0.0,1.3862943611198906,1,6.55250788703459,10,2009,0,0,143000
20,0,4.330733340286331,9.218804450388312,0,0,0,3,3,0,2.0,5,0,0,0,1,8,5,2004,2005,0,0,0,0,2,5.231108616854587,4,3,0,5.0,3.0,3.0,6.0,7.222566018822171,1.0,0,5.762051382780177,7.430707082545968,0,5,0,0,7.43543801981455,0.0,0,7.43543801981455,1,0,2,0,3,1,4,7,0,1,4.0,0,2004.0,2.0,2,6.456769655572163,3.0,3.0,0,5.545177444479562,4.060443010546419,0,0,0,0.0,0.0,0.0,0,0.0,8,2007,0,0,307000
60,0,0.0,9.247925132303454,0,0,1,3,3,2,2.0,6,2,0,0,0,7,6,1973,1973,0,0,3,3,2,5.484796933490655,3,3,1,4.0,3.0,2.0,5.0,6.756932389247553,4.0,32,5.37989735354046,7.010311867307229,0,5,0,0,7.010311867307229,6.891625897052253,0,7.645397699428633,1,0,2,1,3,1,3,7,0,2,3.0,0,1973.0,2.0,2,6.184148890937483,3.0,3.0,0,5.4638318050256105,5.3230099791384085,228,0,0,0.0,0.0,0.0,1,5.860786223465865,11,2009,0,0,200000
50,1,3.9512437185814275,8.71948076085107,0,0,0,3,3,0,2.0,7,3,0,0,2,7,5,1931,1950,0,0,4,2,1,0.0,3,3,2,3.0,3.0,1.0,1.0,0.0,1.0,0,6.859614903654202,6.859614903654202,0,4,0,1,6.930494765951626,6.6240652277998935,0,7.4815557019095165,0,0,2,0,2,2,3,8,1,2,3.0,1,1931.0,1.0,2,6.150602768446279,2.0,3.0,0,4.51085950651685,0.0,205,0,0,0.0,0.0,0.0,0,0.0,4,2008,0,1,129900
190,0,3.9318256327243257,8.912069097970134,0,0,0,3,3,2,2.0,8,3,1,1,3,5,6,1939,1950,0,0,1,1,1,0.0,3,3,2,3.0,3.0,1.0,6.0,6.747586526829315,1.0,0,4.948759890378168,6.899723107284872,0,5,0,0,6.982862751468942,0.0,0,6.982862751468942,1,0,1,0,2,2,3,5,0,2,3.0,0,1939.0,2.0,1,5.327876168789581,4.0,3.0,0,0.0,1.6094379124341003,0,0,0,0.0,0.0,0.0,0,0.0,1,2008,0,0,118000
